rank,key,name,state,platform,category,status,endpoint
1,mesa,Mesa,AZ,socrata,socrata_real,STALE_DATA,https://data.mesaaz.gov/resource/2gkz-7z4f.json
2,st_louis,St. Louis,MO,,NO_PLATFORM,NO_PLATFORM,
3,longview_tx,Longview,TX,arcgis,arcgis,arcgis,https://cloud.longviewtexas.gov/arcgis/rest/services/WebMaps/Building_Permits/MapServer/1/query
4,lynchburg_va,Lynchburg,VA,arcgis,arcgis,arcgis,https://mapviewer.lynchburgva.gov/arcgis/rest/services/OpenData/ODPDynamic/MapServer/37/query
5,long_beach,Long Beach,CA,socrata,socrata_real,DEACTIVATED,https://data.longbeach.gov/resource/6yaw-2i7d.json
6,fresno,Fresno,CA,accela,KNOWN_DEAD_ACCELA,KNOWN_DEAD_ACCELA,https://aca-prod.accela.com/FRESNO/Cap/CapHome.aspx?module=Building&TabName=Building
7,las_vegas,Las Vegas,NV,arcgis,arcgis,arcgis,https://services1.arcgis.com/0MSEUqKaxRlEPj5g/arcgis/rest/services/Building_Permits/FeatureServer/0/query
8,tampa,Tampa,FL,arcgis,arcgis,SERVER_BLOCKED,https://arcgis.tampagov.net/arcgis/rest/services/Planning/PermitsAll/FeatureServer/0/query
9,jacksonville,Jacksonville,FL,arcgis,arcgis,arcgis,https://services1.arcgis.com/sSwFpTv9KLqJnHQx/arcgis/rest/services/Building_Permits/FeatureServer/0/query
10,albuquerque,Albuquerque,NM,arcgis,arcgis,STALE_DATA,https://coageo.cabq.gov/cabqgeo/rest/services/agis/City_Building_Permits/FeatureServer/0/query
11,roseville,Roseville,CA,socrata,socrata_real,socrata_real,https://data.roseville.ca.us/resource/buxi-gsvq.json
12,marin_county,Marin County,CA,socrata,socrata_real,socrata_real,https://data.marincounty.gov/resource/mkbn-caye.json
13,gainesville,Gainesville,FL,socrata,socrata_real,DEACTIVATED,https://data.cityofgainesville.org/resource/p798-x3nx.json
14,framingham,Framingham,MA,socrata,socrata_real,socrata_real,https://data.framinghamma.gov/resource/2vzw-yean.json
15,parker,Parker,CO,socrata,socrata_real,socrata_real,https://parkeronline.data.socrata.com/resource/f6vi-7y2m.json
16,new_jersey_state,New Jersey,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
17,bayonne_nj,Bayonne,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
18,passaic_nj,Passaic,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
19,east_orange_nj,East Orange,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
20,union_city_nj,Union City,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
21,vineland_nj,Vineland,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
22,hoboken_nj,Hoboken,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
23,perth_amboy_nj,Perth Amboy,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
24,plainfield_nj,Plainfield,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
25,west_new_york_nj,West New York,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
26,hackensack_nj,Hackensack,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
27,sayreville_nj,Sayreville,NJ,,NO_PLATFORM,NO_PLATFORM,
28,linden_nj,Linden,NJ,,NO_PLATFORM,NO_PLATFORM,
29,kearny_nj,Kearny,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
30,fort_lee_nj,Fort Lee,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
31,atlantic_city_nj,Atlantic City,NJ,,NO_PLATFORM,NO_PLATFORM,
32,fair_lawn_nj,Fair Lawn,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
33,garfield_nj,Garfield,NJ,,NO_PLATFORM,NO_PLATFORM,
34,long_branch_nj,Long Branch,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
35,westfield_nj,Westfield,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
36,rahway_nj,Rahway,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
37,englewood_nj,Englewood,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
38,bergenfield_nj,Bergenfield,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
39,millville_nj,Millville,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
40,bridgeton_nj,Bridgeton,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
41,paramus_nj,Paramus,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
42,lodi_nj,Lodi,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
43,ridgewood_nj,Ridgewood,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
44,cliffside_park_nj,Cliffside Park,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
45,carteret_nj,Carteret,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
46,south_plainfield_nj,South Plainfield,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
47,glassboro_nj,Glassboro,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
48,north_plainfield_nj,North Plainfield,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
49,summit_nj,Summit,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
50,roselle_nj,Roselle,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
51,secaucus_nj,Secaucus,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
52,lindenwold_nj,Lindenwold,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
53,elmwood_park_nj,Elmwood Park,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
54,pleasantville_nj,Pleasantville,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
55,palisades_park_nj,Palisades Park,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
56,morristown_nj,Morristown,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
57,hawthorne_nj,Hawthorne,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
58,tinton_falls_nj,Tinton Falls,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
59,rutherford_nj,Rutherford,NJ,socrata,socrata_real,socrata_real,https://data.nj.gov/resource/w9se-dmra.json
